commodity,region_id,season_year,year,month,month_label,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,lswi_mean,lswi_max,velocity_mean,velocity_max,velocity_min,n_composites
corn,iowa_us,2023,2023,5,May 2023,0.2556,0.3125,0.1987,0.0804,-0.0627,-0.0056,0.04281,0.06252,0.02311,2
corn,iowa_us,2023,2023,6,Jun 2023,0.4024,0.4417,0.3631,0.0556,0.0721,0.1198,0.04671,0.05227,0.04115,2
corn,iowa_us,2023,2023,7,Jul 2023,0.5464,0.5475,0.5453,0.0016,0.2421,0.2444,0.05161,0.09404,0.00918,2
corn,iowa_us,2023,2023,8,Aug 2023,0.5094,0.5474,0.4714,0.0538,0.2048,0.2473,-0.05386,-0.0095,-0.09821,2
corn,iowa_us,2023,2023,9,Sep 2023,0.3418,0.3806,0.3031,0.0548,0.0345,0.0953,-0.10198,-0.09501,-0.10894,2
corn,iowa_us,2025,2025,5,May 2025,0.2734,0.3159,0.2309,0.0601,-0.0454,0.0081,0.04828,0.06032,0.03624,2
corn,iowa_us,2025,2025,6,Jun 2025,0.4263,0.4624,0.3902,0.0511,0.0935,0.1201,0.09061,0.1088,0.07242,2
corn,iowa_us,2025,2025,7,Jul 2025,0.578,0.6011,0.5549,0.0327,0.2712,0.3071,0.10683,0.15502,0.05864,2
corn,iowa_us,2025,2025,8,Aug 2025,0.5509,0.568,0.5337,0.0243,0.2479,0.2659,-0.02516,-0.0173,-0.03302,2
corn,iowa_us,2025,2025,9,Sep 2025,0.3384,0.4097,0.2671,0.1008,0.0404,0.1278,-0.1545,-0.1149,-0.19409,2
